sid,star
408,Carmen Maura
409,Cathy Podewell
410,Heather O'Rourke
411,William Ragsdale
412,Jackie Mason
413,Laurence Fishburne
414,Fisher Stevens
415,Bill Pullman
416,Jason Beghe
417,James Le Gros
418,Carl Weathers
419,Sidney Poitier
420,George Dzundza
421,Lukas Haas
422,Anthony Edwards
423,Scott Grimes
424,Eric Bogosian
425,Rubén Blades
426,Forest Whitaker
427,Cyndi Lauper
428,Robert Downey Jr.
429,Billy Crystal
430,Jennifer Rubin
431,Gena Rowlands
432,Cliff De Young
433,Amy Irving
434,Jessica Lange
435,David Keith
436,Joanna Pacula
437,Tim Daly
438,Alan Boyce
439,Theresa Russell
440,Hart Bochner
441,Keanu Reeves
442,Jodi Benson
443,Ed Harris
444,Danny Aiello
445,James Spader
446,Dale Midkiff
447,Julian Sands
448,Fred Savage
449,'Weird Al' Yankovic
450,Dom DeLuise
451,Nicole Kidman
452,Shelley Long
453,Morgan Freeman
454,Greg Evigan
455,John Ritter
456,Kenneth Branagh
457,Jensen Daggett
458,Colin Firth
459,Michael Murphy
460,Masatoshi Nagase
461,Sammi Davis
462,Christian Slater
463,Martin Landau
464,Cybill Shepherd
465,Gabriel Damon
466,Ted Danson
467,Dick Durock
468,Bubba Smith
469,Gary Graham
470,Hulk Hogan
471,Terry O'Quinn
472,Randy Quaid
473,Peter Boyle
474,Stephen Caffrey
475,Ron Fazio
476,Don Johnson
477,Kiefer Sutherland
478,Lorraine Bracco
479,Jillian McWhirter
480,Emily Lloyd
481,Ron Silver
482,Keith Coogan
483,Cheech Marin
484,Josef Sommer
485,Macaulay Culkin
486,Judith Hoag
487,Johnny Depp
488,Tim Robbins
489,Liam Neeson
490,Gabriel Byrne
491,Alex Vincent
492,Richard Linklater
493,Craig Sheffer
494,Michael Oliver
495,Bob Newhart
496,Christopher Reid
497,Tony Todd
498,Jonathan Brandis
499,Kate Hodge
500,James Lorinz
501,Andrew Dice Clay
502,Keely Christian
503,Akira Terao
504,Bradley Gregg
505,Dylan McDermott
506,Marlon Brando
507,David Andrews
508,Debbie Harry
509,Gérard Depardieu
510,Carolyn Farina
511,Aidan Quinn
512,Patrick Bergin
513,Adrienne Shelly
514,Douglas Barr
515,Ed Begley Jr.
516,Dabney Coleman
517,Louis Tripp
518,Brian Dennehy
519,Kirstie Alley
520,Cuba Gooding Jr.
521,Anjelica Huston
522,Susan Sarandon
523,Maribel Verdú
524,Paige O'Hara
525,Kathy Bates
526,Billy Campbell
527,Anna Chlumsky
528,Julia Roberts
529,Brian Krause
530,John Turturro
531,Paige Turco
532,Robert Arkins
533,Wesley Snipes
534,Brandon Quintin Adams
535,Justin Whalin
536,Juliette Binoche
537,Brian Bosworth
538,Jason Patric
539,David Morse
540,Kristy Swanson
541,Glen Campbell
542,Scott Bakula
543,Vanilla Ice
544,Ellen Barkin
545,Ed O'Neill
546,Bobcat Goldthwait
547,Brad Pitt
548,Edith Meeks
549,John Goodman
550,Jeff Speakman
551,Claire Bloom
552,Laura Dern
553,Martin Short
554,Gregory Hines
555,Joe Pesci
556,Cindy Williams
557,Jeff Fahey
558,Vincent Spano
559,Kevin Anderson
560,Madeleine Stowe
561,Peter Berg
562,Harvey Keitel
563,Virginia Madsen
564,Scott Weinger
565,Whoopi Goldberg
566,Bridget Fonda
567,Mike Myers
568,Sheryl Lee
569,Annabella Sciorra
570,Timothy Balme
571,Edward James Olmos
572,Carlos Gallardo
573,Hugh Grant
574,Edward Furlong
575,Samantha Mathis
576,Brendan Fraser
577,Omar Epps
578,Victor Wong
579,Terry Farrell
580,Terence Knox
581,Tilda Swinton
582,James Marshall
583,Richard Kind
584,George Strait
585,Stephen Dorff
586,Anne Parillaud
587,Andy Garcia
588,Hugh Laurie
589,Marco Leonardi
590,Damon Wayans
591,Bill Paxton
592,Brandon Lee
593,Glenn Plummer
594,Dermot Mulroney
595,Mary McDonnell
596,Ray Liotta
